Income,Savings,Risk_Tolerance,Investment_Choice
79000,34000,High,Real Estate
61000,24000,Medium,Mutual Funds
67000,26000,High,Tech Stocks
48000,12000,Medium,Index Funds
73000,30000,High,Real Estate
54000,15000,Medium,Mutual Funds
89000,43000,High,Tech Stocks
49000,13000,Medium,Index Funds
58000,23000,Medium,Mutual Funds
80000,36000,High,Real Estate
39000,6000,Low,Government Bonds
76000,34000,Medium,Index Funds
50000,15000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
92000,48000,High,Tech Stocks
45000,10000,Low,Government Bonds
88000,40000,High,Real Estate
62000,25000,Medium,Mutual Funds
67000,29000,Medium,Index Funds
53000,17000,Medium,Mutual Funds
78000,35000,High,Tech Stocks
59000,20000,Medium,Index Funds
71000,31000,High,Real Estate
34000,5000,Low,Government Bonds
49000,12000,Medium,Index Funds
64000,23000,Medium,Mutual Funds
90000,46000,High,Tech Stocks
53000,19000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
57000,20000,Medium,Mutual Funds
66000,29000,Medium,Index Funds
85000,40000,High,Tech Stocks
43000,9000,Low,Government Bonds
52000,20000,Medium,Mutual Funds
71000,31000,High,Real Estate
48000,13000,Medium,Index Funds
54000,17000,Medium,Mutual Funds
88000,45000,High,Real Estate
39000,7500,Low,Government Bonds
64000,24000,Medium,Mutual Funds
80000,37000,High,Tech Stocks
60000,25000,Medium,Index Funds
72000,29000,Medium,Mutual Funds
49000,14000,Low,Government Bonds
91000,49000,High,Tech Stocks
45000,11000,Medium,Index Funds
66000,28000,Medium,Mutual Funds
35000,8000,Low,Government Bonds
57000,21000,Medium,Index Funds
79000,34000,High,Real Estate
61000,24000,Medium,Mutual Funds
67000,26000,High,Tech Stocks
48000,12000,Medium,Index Funds
73000,30000,High,Real Estate
54000,15000,Medium,Mutual Funds
89000,43000,High,Tech Stocks
49000,13000,Medium,Index Funds
58000,23000,Medium,Mutual Funds
80000,36000,High,Real Estate
39000,6000,Low,Government Bonds
76000,34000,Medium,Index Funds
50000,15000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
92000,48000,High,Tech Stocks
45000,10000,Low,Government Bonds
88000,40000,High,Real Estate
62000,25000,Medium,Mutual Funds
67000,29000,Medium,Index Funds
53000,17000,Medium,Mutual Funds
78000,35000,High,Tech Stocks
59000,20000,Medium,Index Funds
71000,31000,High,Real Estate
34000,5000,Low,Government Bonds
49000,12000,Medium,Index Funds
64000,23000,Medium,Mutual Funds
90000,46000,High,Tech Stocks
53000,19000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
57000,20000,Medium,Mutual Funds
66000,29000,Medium,Index Funds
85000,40000,High,Tech Stocks
43000,9000,Low,Government Bonds
52000,20000,Medium,Mutual Funds
71000,31000,High,Real Estate
48000,13000,Medium,Index Funds
54000,17000,Medium,Mutual Funds
88000,45000,High,Real Estate
39000,7500,Low,Government Bonds
64000,24000,Medium,Mutual Funds
80000,37000,High,Tech Stocks
60000,25000,Medium,Index Funds
72000,29000,Medium,Mutual Funds
49000,14000,Low,Government Bonds
91000,49000,High,Tech Stocks
45000,11000,Medium,Index Funds
66000,28000,Medium,Mutual Funds
35000,8000,Low,Government Bonds
57000,21000,Medium,Index Funds
79000,34000,High,Real Estate
61000,24000,Medium,Mutual Funds
67000,26000,High,Tech Stocks
48000,12000,Medium,Index Funds
73000,30000,High,Real Estate
54000,15000,Medium,Mutual Funds
89000,43000,High,Tech Stocks
49000,13000,Medium,Index Funds
58000,23000,Medium,Mutual Funds
80000,36000,High,Real Estate
39000,6000,Low,Government Bonds
76000,34000,Medium,Index Funds
50000,15000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
92000,48000,High,Tech Stocks
45000,10000,Low,Government Bonds
88000,40000,High,Real Estate
62000,25000,Medium,Mutual Funds
67000,29000,Medium,Index Funds
53000,17000,Medium,Mutual Funds
78000,35000,High,Tech Stocks
59000,20000,Medium,Index Funds
71000,31000,High,Real Estate
34000,5000,Low,Government Bonds
49000,12000,Medium,Index Funds
64000,23000,Medium,Mutual Funds
90000,46000,High,Tech Stocks
53000,19000,Medium,Mutual Funds
64000,22000,Medium,Index Funds
57000,20000,Medium,Mutual Funds
